FlightNumber,DepartureCountry,DestinationCountry,DepartureAirport,ArrivalAirport,DepartureDate,BasePrice
AB123,Palestine,Turkey,Queen Alia International,Istanbul Airport,2025-09-15,350.00
CD456,Jordan,Germany,Queen Alia International,Frankfurt Airport,2025-10-01,720.00
EF789,Palestine,Egypt,Amman Civil Airport,Cairo International,2025-08-20,180.00
GH321,Turkey,United Kingdom,Istanbul Airport,Heathrow Airport,2025-11-10,510.00
IJ654,Germany,France,Frankfurt Airport,Charles de Gaulle,2025-09-28,210.00
KL987,France,Italy,Charles de Gaulle,Leonardo da Vinci Airport,2025-10-12,260.00
MN432,Egypt,Saudi Arabia,Cairo International,King Khalid International,2025-09-18,340.00
OP765,United Kingdom,United States,Heathrow Airport,John F. Kennedy International,2025-12-05,950.00
QR219,Saudi Arabia,United Arab Emirates,King Khalid International,Dubai International,2025-08-30,150.00
ST543,Italy,Spain,Leonardo da Vinci Airport,Barcelona El Prat,2025-11-22,190.00
UV876,United States,Canada,John F. Kennedy International,Toronto Pearson International,2025-09-14,280.00
WX345,Turkey,Qatar,Istanbul Airport,Hamad International,2025-10-08,420.00
YZ678,Germany,Netherlands,Frankfurt Airport,Amsterdam Schiphol,2025-09-25,170.00
AA112,Palestine,United Arab Emirates,Queen Alia International,Dubai International,2025-12-15,460.00
BB334,Jordan,Qatar,Queen Alia International,Hamad International,2025-10-20,390.00
CC556,Spain,Portugal,Barcelona El Prat,Lisbon Airport,2025-09-05,130.00
DD778,Canada,United States,Toronto Pearson International,Los Angeles International,2025-11-17,620.00
EE990,United Arab Emirates,India,Dubai International,Indira Gandhi International,2025-08-28,310.00
FF223,India,Thailand,Indira Gandhi International,Suvarnabhumi Airport,2025-10-03,270.00
GG445,Thailand,Singapore,Suvarnabhumi Airport,Changi Airport,2025-11-08,160.00
HH667,Singapore,Australia,Changi Airport,Sydney Kingsford Smith,2025-12-01,540.00
II889,Australia,New Zealand,Sydney Kingsford Smith,Auckland Airport,2025-09-21,400.00
JJ101,Netherlands,France,Amsterdam Schiphol,Charles de Gaulle,2025-10-15,145.00
KK202,Qatar,Turkey,Hamad International,Istanbul Airport,2025-08-17,360.00
LL303,United Kingdom,Germany,Heathrow Airport,Frankfurt Airport,2025-11-29,240.00
MM404,Saudi Arabia,Egypt,King Khalid International,Cairo International,2025-09-11,210.00
NN505,United States,United Kingdom,Los Angeles International,Heathrow Airport,2025-12-20,890.00
OO606,Portugal,Spain,Lisbon Airport,Barcelona El Prat,2025-10-26,125.00
PP707,France,Turkey,Charles de Gaulle,Istanbul Airport,2025-11-13,330.00
QQ808,Jordan,France,Queen Alia International,Charles de Gaulle,2025-09-30,640.00
